smiles,logS,weight
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8,1.0
c1cc[nH]c1,-0.17,1.0
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,1.0
c1ccc(-c2ccccc2)cc1,-4.31,1.0
c1ccc(-c2ccccn2)nc1,-1.42,1.0
c1ccc(C2CO2)cc1,-1.6,1.0
c1ccc(CCc2ccccc2)cc1,-4.62,1.0
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,-2.6,1.0
c1ccc(Cc2ccccc2)cc1,-4.17,1.0
c1ccc(N=Nc2ccccc2)cc1,-4.45,1.0
c1ccc(NNc2ccccc2)cc1,-2.92,1.0
c1ccc(Nc2ccccc2)cc1,-3.51,1.0
c1ccc(Oc2ccccc2)cc1,-3.96,1.0
c1ccc2[nH]ccc2c1,-1.52,1.0
c1ccc2[nH]ncc2c1,-2.16,1.0
c1ccc2[nH]nnc2c1,-0.78,1.0
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,1.0
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,1.0
c1ccc2c(c1)CCC2,-3.04,1.0
c1ccc2c(c1)CCN2,-1.04,1.0
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,1.0
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04,1.0
c1ccc2c(c1)Cc1ccccc1-2,-4.91,1.0
c1ccc2c(c1)Oc1ccccc1O2,-5.31,1.0
c1ccc2c(c1)[nH]c1ccccc12,-4.97,1.0
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8,1.0
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,1.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,1.0
c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,-7.42,1.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06,1.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.66,1.0
c1ccc2c(c1)ccc1ccccc12,-5.26,1.0
c1ccc2c(c1)ccc1ncccc12,-3.36,1.0
c1ccc2c(c1)cnc1ccccc12,-2.78,1.0
c1ccc2c(c1)oc1ccccc12,-4.6,1.0
c1ccc2c(c1)sc1ccccc12,-4.38,1.0
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0,1.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,1.0
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6,1.0
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4,1.0
c1ccc2ocnc2c1,-1.16,1.0
c1ccc2scnc2c1,-1.5,1.0
c1ccncc1,0.76,1.0
c1ccoc1,-0.82,1.0
c1ccsc1,-1.45,1.0
c1cnc2c(c1)ccc1ncccc12,-2.68,1.0
c1cnc2ncncc2n1,0.02,1.0
